Job Title,Company Name,Date,Location,Skill,Link,Salary,Requirements
Odoo Development Internship Program,Global Brands,2 months ago,"New Cairo, Cairo, Egypt ",Entry Level · IT/Software Development · Computer Science · Information Technology (IT) · Odoo Development · Programming · Python · Odoo · Development,https://wuzzuf.net/internship/DTYsi9jgUCXt-Odoo-Development-Internship-Program-Global-Brands-Cairo-Egypt,,
Backend Developer,Confidential,2 months ago,"New Cairo, Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · backend · Computer Science · CSS · Docker · Git · HTML · Information Technology (IT),https://wuzzuf.net/jobs/p/tbprum16rkag-backend-developer-cairo-egypt,,
Coding Instructor,CodeTreps,2 months ago,"Mahta Alraml, Alexandria, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Teaching · instructor · Schools · Education · MIT AppInventor · Code.org · Scratch,https://wuzzuf.net/jobs/p/njvlvy3mjj0u-coding-instructor-codetreps-alexandria-egypt,,
Linux Enablement - Software Engineering Manager,Canonical,2 months ago,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · linux · computer engineering · python · postgresql · software engineering,https://wuzzuf.net/jobs/p/g/eaye5zk9l82f-linux-enablement-software-engineering-manager-canonical-riyadh-saudi-arabia,,
Full-Stack PHP Developer (CodeIgniter),Confidential,2 months ago,"Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · IT/Software Development · PHP (CodeIgniter framework). · Full Stack · JavaScript · MySQL · CSS · HTML · Software Development · Xml Web Services · Angular,https://wuzzuf.net/jobs/p/iynoykafv9jz-full-stack-php-developer-codeigniter-cairo-egypt,,
Software Tester,Sky logistics,2 months ago,"Sheikh Zayed, Giza, Egypt ",Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Software Development · Software Engineering · Software Testing · Testing · Computer Science,https://wuzzuf.net/jobs/p/dkyhjnugjecr-software-tester-sky-logistics-giza-egypt,,
Web Development Internship,Osolutions,22 days ago,"Nasr City, Cairo, Egypt ",Entry Level · 0 - 1 Yrs of Exp · IT/Software Development · PHP Web Development · PHP · PHP Programming · PHP Frameworks · PHP Development · Computer Science · Software Development · Web Development · Back-End Development,https://wuzzuf.net/internship/v0cc8lcsrgf1-web-development-internship-osolutions-cairo-egypt,,
AI Engineering Manager,Link Development,3 days ago,"Cairo, Egypt ",Manager · 5+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · BI · Software Engineering · SQL · Software Development · Power BI · SSRS,https://wuzzuf.net/jobs/p/x9ma4minmoqm-ai-engineering-manager-link-development-cairo-egypt,,
Full-Stack Developer,Confidential,7 days ago,"Cairo, Egypt ",Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Angular · Computer Science · CSS · HTML · SQL · Information Technology (IT) · JavaScript,https://wuzzuf.net/jobs/p/aurdznyptihj-full-stack-developer-cairo-egypt,,
Full Stack Developer,Tripnas,7 days ago,"Tebin, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · React · JavaScript · MongoDB · Node.js · Angular · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/mrwvjnqw0had-full-stack-developer-tripnas-cairo-egypt,,
Senior Full stack Java developer,MTSIT,8 days ago,"Maadi, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Full Stack · Information Technology (IT) · Software Development · CSS · spring Framework · Java SE,https://wuzzuf.net/jobs/p/lryzdqmbz0ry-senior-full-stack-java-developer-mts-it-cairo-egypt,,
